,area,id,parent_id,group,analysis_year,has_agriculture,has_buildings,has_coastline,has_cold_network,has_electricity_storage,has_employment,has_fce,has_industry,has_lignite,has_merit_order,has_metal,has_mountains,has_old_technologies,has_other,has_solar_csp,has_import_export,use_network_calculations,use_merit_order_demands,has_weather_curves,has_aggregated_chemical_industry,has_detailed_chemical_industry,has_coal_oil_for_heating_built_environment,buildings_insulation_employment_constant,households_insulation_employment_constant,co2_emission_1990_aviation_bunkers,co2_emission_1990_marine_bunkers,co2_percentage_free,co2_price,offshore_ccs_potential_mt_per_year,economic_multiplier,employment_fraction_production,employment_local_fraction,man_hours_per_man_year,lv_net_spare_capacity,lv_net_total_costs_present,lv_net_costs_per_capacity_step,lv_net_capacity_per_step,mv_net_spare_capacity,mv_net_total_costs_present,mv_net_costs_per_capacity_step,mv_net_capacity_per_step,hv_net_spare_capacity,hv_net_total_costs_present,hv_net_costs_per_capacity_step,hv_net_capacity_per_step,lv_mv_trafo_spare_capacity,lv_mv_trafo_total_costs_present,lv_mv_trafo_costs_per_capacity_step,lv_mv_trafo_capacity_per_step,mv_hv_trafo_spare_capacity,mv_hv_trafo_total_costs_present,mv_hv_trafo_costs_per_capacity_step,mv_hv_trafo_capacity_per_step,interconnection_net_costs_present,offshore_net_costs_present,flh_solar_pv_solar_radiation_max,hydrogen_electrolysis_solar_pv_capacity_ratio,insulation_detached_houses_low_share,insulation_detached_houses_medium_share,insulation_detached_houses_high_share,insulation_apartments_low_share,insulation_apartments_medium_share,insulation_apartments_high_share,insulation_semi_detached_houses_low_share,insulation_semi_detached_houses_medium_share,insulation_semi_detached_houses_high_share,insulation_corner_houses_low_share,insulation_corner_houses_medium_share,insulation_corner_houses_high_share,insulation_terraced_houses_low_share,insulation_terraced_houses_medium_share,insulation_terraced_houses_high_share,insulation_detached_houses_start_value,insulation_semi_detached_houses_start_value,insulation_apartments_start_value,insulation_corner_houses_start_value,insulation_terraced_houses_start_value,insulation_buildings_start_value,typical_roof_surface_corner_house_available_for_pv,typical_roof_surface_terraced_house_available_for_pv,typical_roof_surface_detached_house_available_for_pv,typical_roof_surface_semi_detached_house_available_for_pv,typical_roof_surface_apartment_available_for_pv,typical_useful_demand_space_heating_corner_house,typical_useful_demand_space_heating_detached_house,typical_useful_demand_space_heating_semi_detached_house,typical_useful_demand_space_heating_terraced_house,typical_useful_demand_space_heating_apartment,heat_demand_reduction_medium_insulation_corner_house,heat_demand_reduction_medium_insulation_detached_house,heat_demand_reduction_medium_insulation_semi_detached_house,heat_demand_reduction_medium_insulation_terraced_house,heat_demand_reduction_medium_insulation_apartments,heat_demand_reduction_high_insulation_corner_house,heat_demand_reduction_high_insulation_detached_house,heat_demand_reduction_high_insulation_semi_detached_house,heat_demand_reduction_high_insulation_terraced_house,heat_demand_reduction_high_insulation_apartments,heat_demand_reduction_high_insulation_buildings,heat_share_of_apartments_with_block_heating,heat_households_indoor_pipelines_investment_costs_with_block_heating_eur,heat_households_indoor_pipelines_investment_costs_without_block_heating_eur,heat_buildings_indoor_investment_costs_eur_per_kw,heat_buildings_heat_meter_investment_costs_eur_per_kw,heat_buildings_heat_meter_investment_costs_eur_per_connection,heat_exchanger_station_investment_costs_eur_per_kw,heat_sub_station_investment_costs_eur_per_kw,heat_distribution_pipelines_investment_costs_eur_per_meter,heat_length_of_distribution_pipelines_in_meter_per_residence_object_first_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_second_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_third_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_fourth_bracket,heat_length_of_distribution_pipelines_in_meter_per_residence_object_fifth_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_first_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_second_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_third_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_fourth_bracket,heat_length_of_connection_pipelines_in_meter_per_residence_fifth_bracket,heat_primary_pipelines_investment_costs_per_kw,heat_yearly_indoor_infrastructure_maintenance_costs_factor,heat_yearly_outdoor_infrastructure_maintenance_costs_factor,electric_vehicle_profile_1_share,electric_vehicle_profile_2_share,electric_vehicle_profile_3_share,electric_vehicle_profile_4_share,electric_vehicle_profile_5_share,solar_pv_profile_1_share,solar_pv_profile_2_share,annual_infrastructure_cost_gas,areable_land,co2_emission_1990,coast_line,interconnector_capacity,total_land_area,number_of_buildings,number_of_cars,number_of_residences,number_of_inhabitants,offshore_suitable_for_wind,residences_roof_surface_available_for_pv,buildings_roof_surface_available_for_pv,other_emission_agriculture,other_emission_built_environment,other_emission_transport,other_emission_industry_energy,number_of_detached_houses,number_of_apartments,number_of_semi_detached_houses,number_of_corner_houses,number_of_terraced_houses,init,base_dataset,scaling,uses_deprecated_initializer_inputs,derived,last_updated_at,useable
105,BU00090104_wittewierum,827,827,neighbourhood,2016,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,0.0093,0.014,4.6046,34.95619,0.85,0.0078,41.95,1.0,0.5,0.2,1800.0,0.25,1080.306006,1832.0,0.002,0.25,928.3879741,1380.0,0.002,0.25,545.5545332,728.0,0.002,0.25,384.8590148,400.0,0.002,0.25,324.0918019,500.0,0.002,0.0,0.0,1361.35634547,0.427,0.6956521739130435,0.30434782608695654,0.0,0.0,1.0,0.0,0.0,0.6744186046511628,0.32558139534883723,0.0,0.7391304347826086,0.2608695652173913,0.0,0.8421052631578947,0.15789473684210525,7.000000000000001,40.0,32.0,35.0,37.0,0.0,3.33e-05,3.25e-05,6.17e-05,4.58e-05,1.90666666666667e-05,0.0444436934929221,0.069849301483813,0.0539853183103173,0.0384769640276346,0.0273790433088697,23.0,23.0,26.0,31.0,32.0,69.0,67.0,69.0,69.0,67.0,74.0,0.15,2022.0,5984.0,151.0,1.35,913.0,80.0,135.0,1200.0,45.5,45.5,45.5,45.5,45.5,17.1,17.1,17.1,17.1,17.1,200.0,0.025,0.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0047838919636413665,0.0,0.000330717,0.0,60000.0,0.47,1.0,50.0,25.0,60.0,4.7,0.000528139,8.08838e-05,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,{},nl,"{'area_attribute': 'number_of_residences', 'value': 25, 'base_value': 7587964}",False,True,2020-10-20T07:41:10.000+00:00,True
106,GM0611_cromstrijen,847,847,municipality,2016,True,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,0.0093,0.014,4.6046,34.95619,0.85,0.0078,41.95,1.0,0.5,0.2,1800.0,0.25,357484.662351965,18320.0,0.02,0.25,307213.381690741,138000.0,0.2,0.25,180529.754492643,72800.0,0.2,0.25,127353.910965817,4000.0,0.02,0.25,107245.398701328,50000.0,0.2,0.0,0.0,1361.35634547,0.427,0.5217391304347826,0.4782608695652174,0.0,0.46875,0.53125,0.0,0.5,0.5,0.0,0.43478260869565216,0.5652173913043479,0.0,0.5806451612903226,0.4193548387096774,0.0,11.0,13.0,17.0,13.0,13.0,46.0,3.33e-05,3.25e-05,6.17e-05,4.58e-05,1.90666666666667e-05,0.0444436934929221,0.069849301483813,0.0539853183103173,0.0384769640276346,0.0273790433088697,23.0,23.0,26.0,31.0,32.0,69.0,67.0,69.0,69.0,67.0,74.0,0.15,2022.0,5984.0,151.0,1.35,913.0,80.0,135.0,1200.0,9.5,9.5,10.1,11.1,14.3,8.5,8.6,9.0,9.4,10.6,200.0,0.025,0.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0758016247836706,46.19,0.0937754825961297,1.533,60000.0,54.43,719.0,6982.0,5622.0,12755.0,37.2520893308958,0.101722065443757,0.0508610327218783,0.0127854462,0.00057256861018,0.00134943971,0.000744779358082,1274.7325994318185,767.6345880681818,518.0784801136364,1027.172940340909,2034.381392045455,{},nl,"{'area_attribute': 'number_of_residences', 'value': 5622, 'base_value': 7587964}",False,True,2020-10-20T07:41:10.000+00:00,True
107,GM0518_s_gravenhage,850,850,municipality,2017,True,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,0.0093,0.014,4.6046,34.95619,0.85,0.0078,41.95,1.0,0.5,0.2,1800.0,0.25,16065758.86,18320.0,0.02,0.25,13806511.52,138000.0,0.2,0.25,8113208.225,72800.0,0.2,0.25,5723426.594,4000.0,0.02,0.25,4819727.658,50000.0,0.2,0.0,0.0,1361.35634547,0.427,0.2608695652173913,0.7391304347826086,0.0,0.75,0.25,0.0,0.3076923076923077,0.6923076923076923,0.0,0.08695652173913043,0.9130434782608696,0.0,0.3225806451612903,0.6774193548387097,0.0,17.0,18.0,8.0,21.0,21.0,46.0,3.33e-05,3.25e-05,6.17e-05,4.58e-05,1.90666666666667e-05,0.0444436934929221,0.069849301483813,0.0539853183103173,0.0384769640276346,0.0273790433088697,23.0,23.0,26.0,31.0,32.0,69.0,67.0,69.0,69.0,67.0,74.0,0.15,2022.0,5984.0,151.0,1.35,913.0,80.0,135.0,1200.0,2.3,2.6,2.9,3.1,3.9,1.1,1.5,1.8,2.1,2.9,200.0,0.025,0.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,48.453362720223765,1.88,1.76179128537555,1.259,60000.0,82.69,11049.0,190461.0,255103.0,524882.0,12500.0,3.68084198213258,1.84042099106629,0.004923816,0.01702824,0.039751086,0.023538943,2175.6592936708957,197810.307751567,2901.2099066605974,9257.469996381593,42958.35305171991,{},nl,"{'area_attribute': 'number_of_residences', 'value': 253211, 'base_value': 7587964}",False,True,2020-10-20T07:41:10.000+00:00,True
108,GM0620_vianen,895,895,municipality,2016,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,0.0093,0.014,4.6046,34.95619,0.85,0.0078,41.95,1.0,0.5,0.2,1800.0,0.25,691450.596917616,18320.0,0.02,0.25,594215.356691302,138000.0,0.2,0.25,349182.551452875,72800.0,0.2,0.25,246329.275157568,4000.0,0.02,0.25,207435.179067042,50000.0,0.2,0.0,0.0,1361.35634547,0.427,0.5217391304347826,0.4782608695652174,0.0,0.15625,0.84375,0.0,0.5,0.5,0.0,0.08695652173913043,0.9130434782608696,0.0,0.3225806451612903,0.6774193548387097,0.0,11.0,13.0,27.0,21.0,21.0,46.0,3.33e-05,3.25e-05,6.17e-05,4.58e-05,1.90666666666667e-05,0.0444436934929221,0.069849301483813,0.0539853183103173,0.0384769640276346,0.0273790433088697,23.0,23.0,26.0,31.0,32.0,69.0,67.0,69.0,69.0,67.0,74.0,0.15,2022.0,5984.0,151.0,1.35,913.0,80.0,135.0,1200.0,5.9,6.9,7.5,8.2,11.1,4.9,6.8,7.8,8.7,11.0,200.0,0.025,0.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5790670593587424,27.2,0.195121607333115,0.0,60000.0,39.17,1194.0,12841.0,8252.0,19513.0,56.9894174138589,0.156964990311492,0.0784824951557458,0.017930255,0.000775344942,0.00273781521,0.000760832097492,943.6450771055754,1439.9397390272836,535.450059311981,1713.0486358244368,3619.916488730724,{},nl,"{'area_attribute': 'number_of_residences', 'value': 8252, 'base_value': 7587964}",False,True,2020-10-20T07:41:10.000+00:00,True
109,GM0080_leeuwarden,911,911,municipality,2016,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,0.0093,0.014,4.6046,34.95619,0.85,0.0078,41.95,1.0,0.5,0.2,1800.0,0.25,4127536.72649802,18320.0,0.02,0.25,3547101.87412665,138000.0,0.2,0.25,2084406.04693808,72800.0,0.2,0.25,1470434.95884875,4000.0,0.02,0.25,1238261.0179002,50000.0,0.2,0.0,0.0,1361.35634547,0.427,0.2608695652173913,0.7391304347826086,0.0,0.46875,0.53125,0.0,0.5,0.5,0.0,0.43478260869565216,0.5652173913043479,0.0,0.5806451612903226,0.4193548387096774,0.0,17.0,13.0,17.0,13.0,13.0,46.0,3.33e-05,3.25e-05,6.17e-05,4.58e-05,1.90666666666667e-05,0.0444436934929221,0.069849301483813,0.0539853183103173,0.0384769640276346,0.0273790433088697,23.0,23.0,26.0,31.0,32.0,69.0,67.0,69.0,69.0,67.0,74.0,0.15,2022.0,5984.0,151.0,1.35,913.0,80.0,135.0,1200.0,4.3,5.0,5.6,6.7,8.6,1.6,3.0,4.3,5.7,7.6,200.0,0.025,0.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.481914779774916,42.26,0.710854281653355,0.0,60000.0,154.41,8411.0,50343.0,60003.0,121511.0,354.883467399959,1.1765,0.8235,0.18678871,0.00504177947,0.01033771384,0.016838427684364,6266.363974154514,20603.433816155073,5576.787711885307,8356.796162635843,19199.61833516926,{},nl,"{'area_attribute': 'number_of_residences', 'value': 60003, 'base_value': 7587964}",False,True,2020-10-20T07:41:10.000+00:00,True
110,BU00140500_de_linie,723,723,neighbourhood,2016,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,0.0093,0.014,4.6046,34.95619,0.85,0.0078,41.95,1.0,0.5,0.2,1800.0,0.25,13875.25818,1832.0,0.002,0.25,11924.05,1380.0,0.002,0.25,7007.005382,728.0,0.002,0.25,4943.060727,400.0,0.002,0.25,4162.577454,500.0,0.002,0.0,0.0,1361.35634547,0.427,0.0,0.6818181818181819,0.3181818181818182,0.0,1.0,0.0,0.0,0.6744186046511628,0.32558139534883723,0.0,0.8695652173913044,0.13043478260869557,0.06451612903225817,0.9354838709677418,0.0,37.0,40.0,32.0,28.999999999999996,28.999999999999996,46.0,3.33e-05,3.25e-05,6.17e-05,4.58e-05,1.90666666666667e-05,0.0444436934929221,0.069849301483813,0.0539853183103173,0.0384769640276346,0.0273790433088697,23.0,23.0,26.0,31.0,32.0,69.0,67.0,69.0,69.0,67.0,74.0,0.15,2022.0,5984.0,151.0,1.35,913.0,80.0,135.0,1200.0,3.9,3.9,3.9,3.9,3.9,1.8,1.8,1.8,1.8,1.8,200.0,0.025,0.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0861100553455446,0.0,0.002478901,0.0,60000.0,0.11,7.0,325.0,450.0,970.0,1.1,0.005773857,0.000343879,0.0,0.0,0.0,0.0,47.30458221024258,306.87331536388143,65.49865229110513,7.277628032345014,23.045822102425873,{},nl,"{'area_attribute': 'number_of_residences', 'value': 450, 'base_value': 7587964}",False,True,2020-10-20T07:41:10.000+00:00,True
111,GM0301_zutphen,100053,100053,municipality,2018,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,0.0093,0.014,4.6046,34.95619,0.85,0.0078,41.95,1.0,0.5,0.2,1800.0,0.25,1901308.72009593,18320.0,0.02,0.25,1633937.18123682,138000.0,0.2,0.25,960160.903674512,72800.0,0.2,0.25,677341.231549759,4000.0,0.02,0.25,570392.616006115,50000.0,0.2,0.0,0.0,1361.35634547,0.427,0.5217391304347826,0.4782608695652174,0.0,0.46875,0.53125,0.0,0.5,0.5,0.0,0.08695652173913043,0.9130434782608696,0.0,0.3225806451612903,0.6774193548387097,0.0,11.0,13.0,17.0,21.0,21.0,31.0,3.33e-05,3.25e-05,6.17e-05,4.58e-05,1.90666666666667e-05,0.0444436934929221,0.069849301483813,0.0539853183103173,0.0384769640276346,0.0273790433088697,23.0,23.0,26.0,31.0,32.0,69.0,67.0,69.0,69.0,67.0,74.0,0.15,2022.0,5984.0,151.0,1.35,913.0,80.0,135.0,1200.0,5.0,5.7,6.3,7.0,8.8,3.2,4.3,5.2,6.0,7.2,200.0,0.025,0.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.204275613326579,19.33,0.249071087589205,0.0,60000.0,40.96,1682.0,20817.0,21971.0,47537.0,12500.0,0.849867992,0.699533048,0.017332276,0.00169073103,0.00316650388,0.00506088937372,1426.2210344357002,6805.2831278715375,1759.0392576081517,3580.044670882045,8400.411909202567,{},nl2018,"{'area_attribute': 'number_of_residences', 'value': 21971, 'base_value': 7587964}",False,True,2021-03-24T13:19:29.000+00:00,True
112,GM0733_lingewaal,870,870,municipality,2016,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,0.0093,0.014,4.6046,34.95619,0.85,0.0078,41.95,1.0,0.5,0.2,1800.0,0.25,515060.138520265,18320.0,0.02,0.25,442629.806514949,138000.0,0.2,0.25,260105.369959795,72800.0,0.2,0.25,183490.174352066,4000.0,0.02,0.25,154518.041549939,50000.0,0.2,0.0,0.0,1361.35634547,0.427,0.5217391304347826,0.4782608695652174,0.0,0.15625,0.84375,0.0,0.5,0.5,0.0,0.08695652173913043,0.9130434782608696,0.0,0.3225806451612903,0.6774193548387097,0.0,11.0,13.0,27.0,21.0,21.0,46.0,3.33e-05,3.25e-05,6.17e-05,4.58e-05,1.90666666666667e-05,0.0444436934929221,0.069849301483813,0.0539853183103173,0.0384769640276346,0.0273790433088697,23.0,23.0,26.0,31.0,32.0,69.0,67.0,69.0,69.0,67.0,74.0,0.15,2022.0,5984.0,151.0,1.35,913.0,80.0,135.0,1200.0,8.8,10.2,11.5,12.4,14.5,7.9,8.5,9.6,10.8,13.2,200.0,0.025,0.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.868372069240181,39.17,0.146023930072017,0.0,60000.0,50.39,555.0,5749.0,4538.0,11112.0,32.4535646134782,0.327872,0.055904,0.0349898598,0.00044654151408,0.00150912445,0.00043814827827,1185.372224640836,393.1484545058772,730.9795385285155,809.0165433173704,1419.483239007401,{},nl,"{'area_attribute': 'number_of_residences', 'value': 4538, 'base_value': 7587964}",False,True,2020-10-20T07:41:10.000+00:00,True
113,GM0614_westvoorne,898,898,municipality,2017,True,True,True,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,0.0093,0.014,4.6046,34.95619,0.85,0.0078,41.95,1.0,0.5,0.2,1800.0,0.25,684600.3556,18320.0,0.02,0.25,588328.4306,138000.0,0.2,0.25,345723.1796,72800.0,0.2,0.25,243888.8767,4000.0,0.02,0.25,205380.1067,50000.0,0.2,0.0,0.0,1361.35634547,0.427,0.5217391304347826,0.4782608695652174,0.0,0.15625,0.84375,0.0,0.6538461538461539,0.34615384615384615,0.0,0.08695652173913043,0.9130434782608696,0.0,0.3225806451612903,0.6774193548387097,0.0,11.0,9.0,27.0,21.0,21.0,46.0,3.33e-05,3.25e-05,6.17e-05,4.58e-05,1.90666666666667e-05,0.0444436934929221,0.069849301483813,0.0539853183103173,0.0384769640276346,0.0273790433088697,23.0,23.0,26.0,31.0,32.0,69.0,67.0,69.0,69.0,67.0,74.0,0.15,2022.0,5984.0,151.0,1.35,913.0,80.0,135.0,1200.0,8.8,9.7,10.5,12.9,16.9,9.2,9.6,10.3,11.5,13.8,200.0,0.025,0.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2882064279693473,27.54,0.0730597811599419,3.917,60000.0,53.15,575.0,8301.0,6747.0,14257.0,12500.0,0.142627457767758,0.0713137288838792,0.021954741,0.000684889,0.001141641,0.000429847,2458.332547864507,1164.577908689249,499.81458026509574,859.5220913107511,1764.7528718703982,{},nl,"{'area_attribute': 'number_of_residences', 'value': 6732, 'base_value': 7587964}",False,True,2020-10-20T07:41:10.000+00:00,True
114,GM0755_boekel,10031,10031,municipality,2018,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,0.0093,0.014,4.6046,34.95619,0.85,0.0078,41.95,1.0,0.5,0.2,1800.0,0.25,463109.4679,18320.0,0.02,0.25,397984.699,138000.0,0.2,0.25,233870.2813,72800.0,0.2,0.25,164982.748,4000.0,0.02,0.25,138932.8404,50000.0,0.2,0.0,0.0,1361.35634547,0.427,0.5217391304347826,0.4782608695652174,0.0,0.15625,0.84375,0.0,0.5,0.5,0.0,0.08695652173913043,0.9130434782608696,0.0,0.06451612903225817,0.9354838709677418,0.0,11.0,13.0,27.0,21.0,28.999999999999996,46.0,3.33e-05,3.25e-05,6.17e-05,4.58e-05,1.90666666666667e-05,0.0444436934929221,0.069849301483813,0.0539853183103173,0.0384769640276346,0.0273790433088697,23.0,23.0,26.0,31.0,32.0,69.0,67.0,69.0,69.0,67.0,74.0,0.15,2022.0,5984.0,151.0,1.35,913.0,80.0,135.0,1200.0,10.9,10.9,11.6,14.9,18.9,10.0,10.0,11.2,13.5,16.4,200.0,0.025,0.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7719288072531709,29.0,0.102391429,0.0,60000.0,34.51,356.0,5645.0,4082.0,10502.0,12500.0,0.0934370649206531,0.0467185324603266,0.054604374,0.000421363,0.000654053,0.000316601,1657.3080708661414,508.24114173228355,991.3715551181105,376.6609251968504,548.4183070866142,{},nl2017,"{'area_attribute': 'number_of_residences', 'value': 4034, 'base_value': 7587964}",False,True,2020-10-20T07:41:10.000+00:00,True
115,GM1948_meierijstad,956,956,municipality,2016,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,0.0093,0.014,4.6046,34.95619,0.85,0.0078,41.95,1.0,0.5,0.2,1800.0,0.25,4807227.95952248,18320.0,0.02,0.25,4131211.52747286,138000.0,0.2,0.25,2427650.11962475,72800.0,0.2,0.25,1712574.96061928,4000.0,0.02,0.25,1442168.38779944,50000.0,0.2,0.0,0.0,1361.35634547,0.427,0.2608695652173913,0.7391304347826086,0.0,0.15625,0.84375,0.0,0.5,0.5,0.0,0.08695652173913043,0.9130434782608696,0.0,0.3225806451612903,0.6774193548387097,0.0,17.0,13.0,27.0,21.0,21.0,46.0,3.33e-05,3.25e-05,6.17e-05,4.58e-05,1.90666666666667e-05,0.0444436934929221,0.069849301483813,0.0539853183103173,0.0384769640276346,0.0273790433088697,23.0,23.0,26.0,31.0,32.0,69.0,67.0,69.0,69.0,67.0,74.0,0.15,2022.0,5984.0,151.0,1.35,913.0,80.0,135.0,1200.0,6.6,7.9,8.9,10.4,15.1,5.7,7.6,8.6,9.8,13.2,200.0,0.025,0.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.316650948792061,133.2,0.745496935995128,0.0,60000.0,184.1,4957.0,42446.0,33010.0,79599.0,232.475818004702,2.30229268185514,1.15114634092757,0.206619528,0.003343601922,0.00703970968,0.022812936773278,7241.400233372229,5172.287646231637,4464.1474433773155,5421.173742632319,10710.9909343865,{},nl,"{'area_attribute': 'number_of_residences', 'value': 33010, 'base_value': 7587964}",False,True,2020-10-20T07:41:10.000+00:00,True
116,GM0289_wageningen,100046,100046,municipality,2018,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,0.0093,0.014,4.6046,34.95619,0.85,0.0078,41.95,1.0,0.5,0.2,1800.0,0.25,1252024.59169108,18320.0,0.02,0.25,1075958.63342156,138000.0,0.2,0.25,632272.41882116,72800.0,0.2,0.25,446033.760800209,4000.0,0.02,0.25,375607.377492399,50000.0,0.2,0.0,0.0,1361.35634547,0.427,0.5217391304347826,0.4782608695652174,0.0,0.46875,0.53125,0.0,0.5,0.5,0.0,0.08695652173913043,0.9130434782608696,0.0,0.3225806451612903,0.6774193548387097,0.0,11.0,13.0,17.0,21.0,21.0,46.0,3.33e-05,3.25e-05,6.17e-05,4.58e-05,1.90666666666667e-05,0.0444436934929221,0.069849301483813,0.0539853183103173,0.0384769640276346,0.0273790433088697,23.0,23.0,26.0,31.0,32.0,69.0,67.0,69.0,69.0,67.0,74.0,0.15,2022.0,5984.0,151.0,1.35,913.0,80.0,135.0,1200.0,2.1,3.4,4.3,5.2,7.5,0.5,1.5,2.7,4.0,6.0,200.0,0.025,0.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.2876819130928925,15.1,0.15142057776408,0.0,60000.0,30.42,716.0,13142.0,17181.0,38412.0,12500.0,0.495239788,0.296136412,0.0073533346,0.0011923336078,0.00241946902,0.001514977568758,1245.2174292699965,8869.548725113518,1441.2516590988473,1896.3311212015367,3728.6510653161017,{},nl2018,"{'area_attribute': 'number_of_residences', 'value': 17181, 'base_value': 7587964}",False,True,2021-03-24T13:19:29.000+00:00,True
117,BU00140108_stadspark,768,768,neighbourhood,2016,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,0.0093,0.014,4.6046,34.95619,0.85,0.0078,41.95,1.0,0.5,0.2,1800.0,0.25,11425.47683,1832.0,0.002,0.25,9818.769148,1380.0,0.002,0.25,5769.865798,728.0,0.002,0.25,4070.32612,400.0,0.002,0.25,3427.643048,500.0,0.002,0.0,0.0,1361.35634547,0.427,0.6956521739130435,0.30434782608695654,0.0,0.0,1.0,0.0,0.0,0.6744186046511628,0.32558139534883723,0.0,0.7391304347826086,0.2608695652173913,0.0,0.8421052631578947,0.15789473684210525,7.000000000000001,40.0,32.0,35.0,37.0,31.0,3.33e-05,3.25e-05,6.17e-05,4.58e-05,1.90666666666667e-05,0.0444436934929221,0.069849301483813,0.0539853183103173,0.0384769640276346,0.0273790433088697,23.0,23.0,26.0,31.0,32.0,69.0,67.0,69.0,69.0,67.0,74.0,0.15,2022.0,5984.0,151.0,1.35,913.0,80.0,135.0,1200.0,36.7,36.7,36.7,36.7,36.7,15.0,15.0,15.0,15.0,15.0,200.0,0.025,0.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00019135567854565466,0.0,0.001069273,0.0,60000.0,1.29,14.0,15.0,1.0,25.0,12.9,9.03321e-05,0.004841991,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,{},nl,"{'area_attribute': 'number_of_residences', 'value': 1, 'base_value': 7587964}",False,True,2020-10-20T07:41:10.000+00:00,True
118,GM1773_olst_wijhe,10011,10011,municipality,2017,True,True,False,False,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,0.0093,0.014,4.6046,34.95619,0.85,0.0078,41.95,1.0,0.5,0.2,1800.0,0.25,797524.125616087,18320.0,0.02,0.25,685372.295411215,138000.0,0.2,0.25,402749.683447057,72800.0,0.2,0.25,284117.969757267,4000.0,0.02,0.25,239257.237675319,50000.0,0.2,0.0,0.0,1361.35634547,0.427,0.5217391304347826,0.4782608695652174,0.0,0.46875,0.53125,0.0,0.5,0.5,0.0,0.08695652173913043,0.9130434782608696,0.0,0.3225806451612903,0.6774193548387097,0.0,11.0,13.0,17.0,21.0,21.0,31.0,3.33e-05,3.25e-05,6.17e-05,4.58e-05,1.90666666666667e-05,0.0444436934929221,0.069849301483813,0.0539853183103173,0.0384769640276346,0.0273790433088697,23.0,23.0,26.0,31.0,32.0,69.0,67.0,69.0,69.0,67.0,74.0,0.15,2022.0,5984.0,151.0,1.35,913.0,80.0,135.0,1200.0,9.5,10.6,11.6,14.9,19.9,7.2,8.4,9.4,12.3,15.5,200.0,0.025,0.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4407169037702339,96.52,0.134478415105908,0.0,60000.0,113.99,355.0,9261.0,7529.0,17957.0,12500.0,0.16240419661303,0.0812020983065148,0.0998008426,0.00080518122096,0.001542846012,0.0072316357891334,2381.481223739496,1020.2111344537815,1419.596113445378,1162.5661764705883,1545.1453518907563,{},nl,"{'area_attribute': 'number_of_residences', 'value': 7529, 'base_value': 7587964}",False,True,2020-10-20T07:41:10.000+00:00,True
