index,unit,share_group,key,related_node,node_source_url,step_value,draw_to_min,draw_to_max,disabled,translated_name,sanitized_description,fixed,has_flash_movie,additional_specs,group,subgroup
10,%,,households_insulation_level_semi_detached_houses,,,0.1,0.0,,False,Semi-detached house,"The heat demand reduction is the percentage by which the heat demand is reduced compared to a badly insulated house (characterised by label G), i.e. the slider indicates how much of the potential savings has been achieved. The current settings are based on the energy labels that are present within your region, for the Netherlands this data is derived from <a href=""https://bagviewer.kadaster.nl/lvbag/bag-viewer/index.html#?geometry.x=160000&geometry.y=455000&zoomlevel=0)"" target=""_blank"">""Basisregistratie Adressen en Gebouwen (BAG)""</a>. These labels have been converted into heat demand reduction percentages. The relationship between heat demand reduction and energy labels per housing type can be found in our <a href=""https://docs.energytransitionmodel.com/main/insulation"" target=""_blank"">documentation</a>. However, the mapping is ambiguous since there is no direct relationship between energy labels and the insulation level. Please note that the label image above the household insulation sliders shows the <i>average</i> label vs. heat demand reduction mapping for all housing types. 
<br><br>
For the current situation no insulation costs are taken into account, only when insulation measures are taken. The insulation costs are based on the Ecofys <a href=""https://refman.energytransitionmodel.com/publications/2063"" target=""_blank"">&#39;De systeemkosten van warmte voor woningen (2015)&#39;</a> (Dutch only). We make a distinction between costs for existing and newly built houses. The insulation costs for houses are not fixed per % heat demand reduction, but instead the costs depend on the level of insulation in the present year: e.g. going from 0 to 30% is cheaper than going from 30% to 60% insulation.",False,False,{},Households,Insulation
11,%,,households_insulation_level_terraced_houses,,,0.1,0.0,,False,Terraced house,"The heat demand reduction is the percentage by which the heat demand is reduced compared to a badly insulated house (characterised by label G), i.e. the slider indicates how much of the potential savings has been achieved. The current settings are based on the energy labels that are present within your region, for the Netherlands this data is derived from <a href=""https://bagviewer.kadaster.nl/lvbag/bag-viewer/index.html#?geometry.x=160000&geometry.y=455000&zoomlevel=0)"" target=""_blank"">""Basisregistratie Adressen en Gebouwen (BAG)""</a>. These labels have been converted into heat demand reduction percentages. The relationship between heat demand reduction and energy labels per housing type can be found in our <a href=""https://docs.energytransitionmodel.com/main/insulation"" target=""_blank"">documentation</a>. However, the mapping is ambiguous since there is no direct relationship between energy labels and the insulation level. Please note that the label image above the household insulation sliders shows the <i>average</i> label vs. heat demand reduction mapping for all housing types. 
<br><br>
For the current situation no insulation costs are taken into account, only when insulation measures are taken. The insulation costs are based on the Ecofys <a href=""https://refman.energytransitionmodel.com/publications/2063"" target=""_blank"">&#39;De systeemkosten van warmte voor woningen (2015)&#39;</a> (Dutch only). We make a distinction between costs for existing and newly built houses. The insulation costs for houses are not fixed per % heat demand reduction, but instead the costs depend on the level of insulation in the present year: e.g. going from 0 to 30% is cheaper than going from 30% to 60% insulation.",False,False,{},Households,Insulation
12,%,heating_households,households_heater_combined_network_gas_share,households_space_heater_combined_network_gas,https://github.com/quintel/etdataset-public/blob/master/nodes_source_analyses/energy/households/households_space_heater_combined_network_gas.converter.xlsx?raw=true,0.1,,,False,Condensing combi boiler,"This is a condensing gas-fired heater. When you click on ""Technical and financial properties"", then you will see that the efficiency is above 100% for space heating. This is the case because these heaters also retrieve heat from condensation. These boilers also produce hot water for showering and other uses. Hot water production is slightly less efficient than producing heat for the central heating system.",False,False,{},Households,Space heating & hot water
13,%,heating_households,households_heater_district_heating_steam_hot_water_share,,,0.1,,,False,District heating,"District heating is heat supplied by a heat network. The heat can be produced by local heat plants / large-scale burners or the heat can be imported from outside your region. You can set the heat sources in the Supply-section under the header <a href=""/scenario/supply/heat"" >""Heat networks""</a>.",False,False,{},Households,Space heating & hot water
14,%,heating_households,households_heater_heatpump_air_water_electricity_share,households_space_heater_heatpump_air_water_electricity,https://github.com/quintel/etdataset-public/blob/master/nodes_source_analyses/energy/households/households_space_heater_heatpump_air_water_electricity.converter.xlsx?raw=true,0.1,,,False,Heat pump (air),"Heat pumps can run on gas or electricity. This is an electric heat pump, draws its heat from the outside air and uses under-floor heating. 
<br/><br/>
A heat pump moves heat from one place to another. Heat pumps are used in refrigerators, but buildings can use them for heating and cooling. This saves energy compared to a gas-fired central heating boiler, for example. For optimal application, it does often require installation of under-floor and wall heating instead of radiators. Currently, their use in newly constructed houses is becoming quite popular, since European legislation dictates that domestic energy consumption must decrease. ",False,False,{},Households,Space heating & hot water
15,%,heating_households,households_heater_heatpump_ground_water_electricity_share,households_space_heater_heatpump_ground_water_electricity,https://github.com/quintel/etdataset-public/blob/master/nodes_source_analyses/energy/households/households_space_heater_heatpump_ground_water_electricity.converter.xlsx?raw=true,0.1,,,False,Heat pump (ground),"A heat pump moves heat from one place to another. Heat pumps are used in refrigerators, but buildings can use them for heating and cooling. This saves energy compared to a gas-fired central heating boiler, for example. For optimal application, it does often require installation of under-floor and wall heating instead of radiators. Currently, their use in newly constructed houses is becoming quite popular, since European legislation dictates that domestic energy consumption must decrease.
<br/><br/>
Heat pumps can run on gas or electricity. This is an electric heat pump, as it draws its heat from the ground. Gas-fired heat pumps are more often used to draw their heat from the air.
<br/>",False,False,{},Households,Space heating & hot water
16,%,heating_households,households_heater_hybrid_heatpump_air_water_electricity_share,households_space_heater_hybrid_heatpump_air_water_electricity,https://github.com/quintel/etdataset-public/blob/master/nodes_source_analyses/energy/households/households_space_heater_hybrid_heatpump_air_water_electricity.converter.xlsx?raw=true,0.1,,,False,Hybrid heat pump (gas),"This heater is a combination of an electric heat pump that draws its heat from the outside air and an efficient conventional gas-fired boiler. Essentially, the hybrid heat pump offers a way to strongly reduce natural gas demand for heating, while buying time for grid management companies to reinforce grids. 
<br/><br/>
This works as follows:<br/>
The gas-fired part takes over all of the heating of the building on cold winter days, when heat demand peaks. Because of this clever trick, the heat pump has less impact on the electricity grid than an all-electric heat pump does. Smart use of hybrid heat pumps may therefore avoid the need to reinforce local power grids. 
<br/><br/>
Heat pumps move heat from one place to another. Refrigerators use heat pumps, for example, but buildings can use them for heating and cooling too. For optimal results with <em>most</em> types of heat pump, installation of under-floor and wall heating instead of radiators is often required, as well as good levels of insulation. The <em>hybrid</em> heat pump is an exception, because of its gas-fired heater as a fall-back option. Hybrid heat pumps can intelligently use whichever part (heat pump or gas-fired heater) is the most efficient or cost-effective given the weather conditions and insulation level. Houses with limited insulation will rely on the gas-fired part more, better insulated ones will make more use of the heat pump.
<br/><br/>
The COP of the electric part of the hybrid heat pump depends on ambient temperature. When the COP drops below the threshold value the hybrid heat pump switches to gas. The threshold value can be adjusted in the section <a href=""/scenario/flexibility/flexibility_net_load/demand-response-behavior-of-hybrid-heat-pumps"" >Demand response - behavior of hybrid heat pumps</a>. 

",False,False,{},Households,Space heating & hot water
17,%,heating_households,households_heater_hybrid_hydrogen_heatpump_air_water_electricity_share,households_space_heater_hybrid_hydrogen_heatpump_air_water_electricity,https://github.com/quintel/etdataset-public/blob/master/nodes_source_analyses/energy/households/households_space_heater_hybrid_hydrogen_heatpump_air_water_electricity.converter.xlsx?raw=true,0.1,,,False,Hybrid heat pump (hydrogen),"This heater is a combination of an electric heat pump that draws its heat from the outside air and an efficient conventional hydrogen-fired boiler.
<br/><br/>
This works as follows:<br/>
The hydrogen-fired part takes over all of the heating of the building on cold winter days, when heat demand peaks. Because of this clever trick, the heat pump has less impact on the electricity grid than an all-electric heat pump does. Smart use of hybrid hydrogen heat pumps may therefore avoid the need to reinforce local power grids. 
<br/><br/>
Heat pumps move heat from one place to another. Refrigerators use heat pumps, for example, but buildings can use them for heating and cooling too. For optimal results with <em>most</em> types of heat pump, installation of under-floor and wall heating instead of radiators is often required, as well as good levels of insulation. The <em>hybrid</em> hydrogen heat pump is an exception, because of its hydrogen-fired heater as a fall-back option. Hybrid hydrogen heat pumps can intelligently use whichever part (heat pump or hydrogen-fired heater) is the most efficient or cost-effective given the weather conditions and insulation level. Houses with limited insulation will rely on the hydrogen-fired part more, better insulated ones will make more use of the heat pump.
<br/><br/>
The COP of the electric part of the hybrid hydrogen heat pump depends on ambient temperature. When the COP drops below the threshold value the hybrid heat pump switches to hydrogen. The threshold value can be adjusted in the section <a href=""/scenario/flexibility/flexibility_net_load/demand-response-behavior-of-hybrid-heat-pumps"" >Demand response - behavior of hybrid heat pumps</a>. 

",False,False,{},Households,Space heating & hot water
18,%,heating_households,households_heater_wood_pellets_share,households_space_heater_wood_pellets,,0.1,,,False,Wood pellet stove,"This is a wood pellet-fired stove. These are quite efficient and fully automated in that they draw their fuel from an attached silo. 
<br/><br/>
It is assumed the biomass used has been produced sustainably. Still, transporting biomass consumes fuel and the smaller the scale at which it is used, the less &#39;green&#39; this option becomes.
<br/><br/>
Conventional stoves or fireplaces have not been included separately.",False,False,{},Households,Space heating & hot water
19,%,heating_households,households_heater_electricity_share,households_space_heater_electricity,,0.1,,,False,Electric heater,"Electric heaters directly convert electricity back to heat.
<br/>
Some people believe this is a waste of energy. Electricity is a very versatile form of energy and low-grade heat can only be used to heat buildings or make hot water. The waste is even bigger if the electricity is generated using fossil fuels.
<br/><br/>
Electric heaters need to be able to produce a lot of heat quickly, so they can have a large impact on the energy grid. Especially if they are added to electric heat pumps as extra heating capacity during cold days, impact on the local electricity grid can be extreme. If you want to see what will happen to the grid you can set the electric heater slider to the same percentage as electric heat pumps (ground). ",False,False,{},Households,Space heating & hot water
20,%,heating_households,households_heater_network_gas_share,households_space_heater_network_gas,https://github.com/quintel/etdataset-public/blob/master/nodes_source_analyses/energy/households/households_space_heater_network_gas.converter.xlsx?raw=true,0.1,,,False,Gas-fired heater,"These are the same heaters as the ""Condensing combi boiler"", except that they do not produce hot water, but only heat for a central heating systems. This makes them on average a little more efficient than their &#39;combi&#39; counterparts.",False,False,{},Households,Space heating & hot water
21,%,,households_solar_pv_solar_radiation_market_penetration,households_solar_pv_solar_radiation,https://github.com/quintel/etdataset-public/blob/master/nodes_source_analyses/energy/households/households_solar_pv_solar_radiation.central_producer.xlsx?raw=true,0.1,,,False,PV panels,"With this slider you set the percentage of the potential roof area where you want to install solar panels. Do you want to know the installed capacity? Then look in the &#39;Merit order table&#39;, which can be found in the chart list (you can get here by clicking &#39;See more charts&#39; at the top right). 
<br/><br/>
 This technology is developing rapidly and solar panels are becoming ever more efficient and cheaper. Solar panels produce electricity on site, so transport of electricity is not always required. This avoids losses on the grid and that saves energy. Feeding locally produced power back into the local power grid requires a higher capacity or smarter local grid, to prevent it from overloading. It may be desirable to curtail the power peaks in order to decrease the load on the net, you can set this <a href=""/scenario/flexibility/flexibility_net_load/curtailment-solar-pv"">here</a>. 
<br/><br />
 You can adjust the full load hours of solar panels <a href=""/scenario/flexibility/flexibility_weather/extreme-weather-conditions"" >here</a>. The efficiency of solar panels can be adjusted <a href=""/scenario/costs/solar/solar-pv-technology"" >here</a>.<br />",False,False,{},Households,Solar panels
22,%,,households_water_heater_solar_thermal_share,households_water_heater_solar_thermal,,0.1,,,False,Solar thermal collectors,"Solar water heaters (SWH) use solar thermal panels to produce warm water using heat from the sun. This heat can be used to heat shower or do the dishes, for example. SWHs are installed on rooftops or in asphalt for parking lots, for example. A SWH is often combined with a gas-fired central heating boiler that heats water further if necessary (especially in winter). It can also be combined with a heat pump. ",False,False,{},Households,Solar panels
23,%,cooling_households,households_cooling_heatpump_ground_water_electricity_share,households_cooling_heatpump_ground_water_electricity,https://github.com/quintel/etdataset-public/blob/master/nodes_source_analyses/energy/households/households_cooling_heatpump_ground_water_electricity.converter.xlsx?raw=true,0.1,,,False,Heat pump (ground),"A heat pump moves heat from one place to another. Heat pumps are used in refrigerators, but buildings can use them for heating and cooling. For optimal application, it does often require installation of under-floor and wall heating instead of radiators. Currently, their use in newly constructed houses is becoming quite popular, since European legislation dictates that domestic energy consumption must decrease.
<br/><br/>
This heat pump uses a ground source on one side and a wall or floor delivery system on the other. Not all residences are suitable for using a heat pump as they cannot all be fitted with wall or floor delivery systems at acceptable costs. Considering the high investment costs for such delivery systems, it is realistic to assume that no more than ~20% of all residences could be equipped with such a heat pump. For the other 80%, the costs would probably outweigh the benefits.
<br/><br/>
Note that for heat pump shares above 20%, the ETM will considerably underestimate the associated investment costs. This is caused by the fact that the additional investment costs are unknown for installation in residences that would normally not qualify.",False,False,{},Households,Cooling
24,%,cooling_households,households_cooling_heatpump_air_water_electricity_share,households_cooling_heatpump_air_water_electricity,https://github.com/quintel/etdataset-public/blob/master/nodes_source_analyses/energy/households/households_cooling_heatpump_air_water_electricity.converter.xlsx?raw=true,0.1,,,False,Heat pump (air),"A heat pump moves heat from one place to another. Buildings can use them for heating and cooling, but they are also used in refrigerators. Currently, their use in newly constructed houses is becoming quite popular, since European legislation dictates that domestic energy consumption must decrease.
<br/><br/>
This is an electric heat pump that draws cold/heat from the air outside and uses a wall or floor delivery system. Not all residences are suitable for using a heat pump as they cannot all be fitted with wall or floor delivery systems at acceptable costs. Considering the high investment costs for such delivery systems, it is realistic to assume that no more than ~20% of all residences could be equipped with such a heat pump. For the other 80%, the costs would probably outweigh the benefits.
<br/><br/>
Note that for heat pump shares above 20%, the ETM will considerably underestimate the associated investment costs. This is caused by the fact that the additional investment costs are unknown for installation in residences that would normally not qualify.  ",False,False,{},Households,Cooling
25,%,cooling_households,households_cooling_airconditioning_electricity_share,households_cooling_airconditioning_electricity,,0.1,,,False,Airconditioning,"This indicates the extent to which air conditioning is used to cool houses and apartments. Currently, in most countries cooling is provided mainly by air conditioning.",False,False,{},Households,Cooling
26,%,cooking,households_cooker_network_gas_share,,,0.1,,,False,Gas,"Gas cooking is popular in countries where there is an abundance of natural gas and a gas distribution network. The efficiency of a gas stove is 40% and is lower than the electric alternatives since a lot of heat is lost to the environment. Although electric cooking may therefore appear more efficient, it is important to take the entire &#39;well-to-potato&#39; chain into account, meaning that in some cases gas cooking might be advantageous. Electricity production in power plants also leads to losses.
<br/><br/>
Only the costs due to the difference in energy demand are considered. The costs of the stove are not taken into account in the Energy Transition Model.",False,False,{},Households,Cooking
27,%,cooking,households_cooker_resistive_electricity_share,,,0.1,,,False,Electric,"Electric cookers are a popular in urban and suburban areas where there is no access to a natural gas network. Electric stoves use resistive heating coils to produce heat and have an efficiency of approximately 55% (excluding electricity production and transport losses). 
<br/>
The disadvantage of electric stoves is the time required to warm the stove and the inability to quickly change the cooking temperature.
<br/><br/>
Only the costs due to the difference in energy demand are considered. The costs of the stove are not taken into account in the Energy Transition Model.",False,False,{},Households,Cooking
28,%,cooking,households_cooker_halogen_electricity_share,,,0.1,,,False,Halogen,"Halogen stoves use electricity to produce infrared radiation and red light to heat food. Halogen stoves can be identified by the special toughened ceramic glass stove tops. Compared to electric stoves, halogen stoves heat up and cool down quicker offering more flexibility during cooking and improved efficiency. The efficiency of a halogen stove is approximately 60% (excluding losses that occur when electricity is produced).
<br/><br/>
Only the costs due to the difference in energy demand are considered. The costs of the stove are not taken into account in the Energy Transition Model.",False,False,{},Households,Cooking
29,%,cooking,households_cooker_induction_electricity_share,,,0.1,,,False,Induction,"An induction cooker uses a type of induction heating for cooking. What sets it apart from other common forms of stovetop cooking, is the fact that the heat is generated directly in the cooking vessel, as opposed to being transferred from the stovetop to the pan by electrical coils or burning gas. Because of this, special pans are required for induction cookers. The efficiency of an induction stove is very high, approximately 83-90%. 
<br/><br/>
Only the costs due to the difference in energy demand are considered. The costs of the stove are not taken into account in the Energy Transition Model.",False,False,{},Households,Cooking
30,%,cooking,households_cooker_wood_pellets_share,,,0.1,,,False,Biomass,"Cooking on biomass includes different fuels and technologies, among which wood, wood pallets, bio-gas and bio-oil. Old fashioned wood stoves have a very low efficiency for cooking. The efficiency of the biomass stove in the Energy Transition Model is 30% and is lower than the natural gas and electric alternatives since a lot of heat is lost to the environment. 
<br/><br/>
Only the costs due to the difference in energy demand are considered. The costs of the stove are not taken into account in the Energy Transition Model.",False,False,{},Households,Cooking
31,%,,households_appliances_dishwasher_electricity_efficiency,,,0.1,,,False,Dish washer,"How much more efficient do you think dish washers will be in the future?
<br/><br/>
National and European legislation is forcing household appliances to use ever less energy. The energy labels that are mandatory nowadays in all European countries give a good indication of the energy efficiency of household appliances. 
<br/><br/>
The starting value of this slider is the current average label of dish washers. Use the slider to give an estimation of the average label of dish washers in the future. The A+++ label corresponds to an energy reduction of 35% compared to today. ",False,False,{},Households,Appliances
32,%,,households_appliances_fridge_freezer_electricity_efficiency,,,0.1,,,False,Fridge / Freezer,"How much more efficient do you think fridges and freezers will be in the future?
<br/><br/>
National and European legislation is forcing household appliances to use ever less energy. The energy labels that are mandatory nowadays in all European countries give a good indication of the energy efficiency of household appliances. 
<br/><br/>
The starting value of this slider is the current average label of fridges and freezers. Use the slider to give an estimation of the average label of fridges and freezers in the future. The A+++ label corresponds to an energy reduction of 66% compared to today. 

",False,False,{},Households,Appliances
33,%,,households_appliances_washing_machine_electricity_efficiency,,,0.1,,,False,Washing machine,"How much more efficient do you think washing machines will be in the future?
<br/><br/>
National and European legislation is forcing household appliances to use ever less energy. The energy labels that are mandatory nowadays in all European countries give a good indication of the energy efficiency of household appliances. 
<br/><br/>
The starting value of this slider is the current average label of washing machines. Use the slider to give an estimation of the average label of washing machines in the future. The A+++ label corresponds to an energy reduction of 28% compared to today. 
",False,False,{},Households,Appliances
34,%,,households_appliances_clothes_dryer_electricity_efficiency,,,0.1,,,False,Dryer,"How much more efficient do you think wash dryers will be in the future?
<br/><br/>
National and European legislation is forcing household appliances to use ever less energy. The energy labels that are mandatory nowadays in all European countries give a good indication of the energy efficiency of household appliances. 
<br/><br/>
The starting value of this slider is the current average label of dryers. Use the slider to give an estimation of the average label of dryers in the future. The A+++ label corresponds to an energy reduction of 69% compared to today.",False,False,{},Households,Appliances
35,%,,households_appliances_television_electricity_efficiency,,,0.1,,,False,Television,"How much more efficient do you think televisions will be in the future?
<br/><br/>
New technologies such as LED displays reduce energy consumption. But keep in mind that large televisions of course consume more energy than small ones using the same technology. As a result, each television uses more energy today than it did several years ago.
<br/><br/>
The starting value of this slider is the current average label of televisions. Use the slider to give an estimation of the average label of televisions in the future. The A+++ label corresponds to an energy reduction of 92% compared to today. ",False,False,{},Households,Appliances
36,%,,households_appliances_vacuum_cleaner_electricity_efficiency,,,0.1,,,False,Vacuum cleaner,"How much more efficient do you think vacuum cleaners will be in the future?
<br/><br/>
National and European legislation is forcing household appliances to use ever less energy. The energy labels that are mandatory nowadays in all European countries give a good indication of the energy efficiency of household appliances. 
<br/><br/>
The starting value of this slider is the current average label of vacuum cleaners. Use the slider to give an estimation of the average label of vacuum cleaners in the future. The A+++ label corresponds to an energy reduction of 75% compared to today. ",False,False,{},Households,Appliances
37,%,,households_appliances_computer_media_electricity_efficiency,,,0.1,,,False,Computer / Media,How much more efficient do you think computers and other audio/video appliances (excluding television) will be in the future?,False,False,{},Households,Appliances
38,%,,households_appliances_other_electricity_efficiency,,,0.1,,,False,Other,"How much more efficient do you think other appliances will be in the future?
<br/><br/>
This category includes: <br/>
- Personal care <br/>
- Leisure <br/>
- Kitchenware (exclusive of cooking) <br/>
- Ventilation",False,False,{},Households,Appliances
39,%,household_light,households_lighting_incandescent_electricity_share,,,0.1,,,False,Incandescent,"Many EU countries will ban the incandescent light bulb in the future. They only convert about 2-3% of the energy used into visible light. The rest is radiated as heat. They also do not live very long compared to newer technologies. An advantage is that they tend to give off a &#39;warm&#39; light. 
<br/><br/>
Lifetime comparison:
<br/>• LED-light:      ~50.000 hours
<br/>• ESLB:             ~7.500 hours
<br/>• Incandescent:  ~1.000 hours",False,False,{},Households,Lighting
40,%,household_light,households_lighting_efficient_fluorescent_electricity_share,,,0.1,,,False,Low-energy light bulb,"What share of lighting comes from Energy-saving light bulbs (ESLB)?
<br/><br/>
Many EU countries will ban the incandescent light bulb in the future. ESLBs use ~75% less energy than incandescent light bulbs, but about twice as much as LED-lights. Not all ESLBs can be thrown away without danger of polluting the environment, as they contain toxic substances. Incandescent light bulbs or LED-lights do not. ESLB&#39;s lifetime is shortened when they are often rapidly switched on and off. 
<br/><br/>
Lifetime comparison:
<br/>• LED-light:      ~50.000 hours
<br/>• ESLB:             ~7.500 hours
<br/>• Incandescent:  ~1.000 hours",False,False,{},Households,Lighting
41,%,household_light,households_lighting_led_electricity_share,,,0.1,,,False,LED,"What share of lighting comes from Light Emitting Diodes?
<br/><br/>
Many EU countries will ban the incandescent light bulb in the future. LEDs use only 10% of the energy of a normal light bulb and about half of an energy saving light bulb (ESLB). Unlike ESLB’s LEDs can be switched on and off rapidly without decreasing their lifetime. LED-lights cost 5 to 50 times more than the alternatives. Their chief disadvantage is that they are not (yet) optimally suited for evenly lighting up a room.
<br/><br/>
Lifetime comparison:
<br/>• LED-light:      ~50.000 hours
<br/>• ESLB:             ~7.500 hours
<br/>• Incandescent:  ~1.000 hours",False,False,{},Households,Lighting
42,%,,households_useful_demand_hot_water_share,,,0.1,,,False,Hot water,"Note: these changes in energy demand do <strong>not</strong> depend on the technologies chosen below (Hot water slide). 
<br/>
<br/>
Here you indicate how you expect demand for hot water per person to change. This is mainly determined by growth in prosperity.",False,False,{},Households,Prosperity
43,%,,households_useful_demand_electric_appliances,,,0.1,,,False,Electric appliances,"Note: these changes in energy demand do <strong>not</strong> depend on the technologies chosen below (Appliances slide). 
<br/>
<br/>
Here you indicate how you expect demand for appliances per person to change. This is mainly determined by growth in prosperity. As people become richer, they tend to possess more electric appliances.",False,False,{},Households,Prosperity
44,%,,households_useful_demand_lighting,,,0.1,,,False,Lighting,"Note: these changes in energy demand do <strong>not</strong> depend on the technologies chosen below (Lighting slide). 
<br/>
<br/>
Here you indicate how you expect demand for lighting per person to change. This is mainly determined by growth in prosperity. As people become richer, they start living in larger houses that require more lighting.",False,False,{},Households,Prosperity
45,%,,households_useful_demand_cooking_per_person,,,0.1,,,False,Cooking,"Note: these changes in energy demand do <strong>not</strong> depend on the technologies chosen below (Cooking slide). 
<br/>
<br/>
Here you can indicate how you expect the demand for cooking per person to change. As people become wealthier, they go out for dinner or take away food more often, resulting in a lower demand for cooking at home.",False,False,{},Households,Prosperity
46,%,,households_useful_demand_heat_per_person,,,0.1,,,False,Heating demand,"Note: these changes in energy demand do <strong>not</strong> depend on the technologies chosen below (Space heating slide). 
<br/>
<br/>
Here you indicate how you expect heat demand per residence to change. As people become wealthier, they start living in larger houses which increases the energy demand for space heating. ",False,False,{},Households,Prosperity
47,%,,households_useful_demand_for_cooling,,,0.1,,,False,Cooling demand,"Note: these changes in energy demand do <strong>not</strong> depend on the technologies chosen below (Cooling).
<br/><br/>

Please indicate how you expect the demand for cooling per residence to change. This is mainly determined by growth in prosperity. As people become richer, their energy consumption inevitably increases as they live in larger houses, install airconditioning, etc.
",False,False,{},Households,Prosperity
